time,open,high,low,close,tick_volume,spread,real_volume
2024-03-12 08:45:00,71912.12,72039.96,71806.11,71979.99,1360,802,0
2024-03-12 09:00:00,71981.85,71993.35,71734.23,71771.8,1809,687,0
2024-03-12 09:15:00,71771.8,71816.82,71505.16,71515.89,2211,964,0
2024-03-12 09:30:00,71515.89,71711.47,71426.11,71677.12,2529,834,0
2024-03-12 09:45:00,71677.12,72287.91,71673.29,72276.52,2895,0,0
2024-03-12 10:00:00,72269.84,72362.25,72053.88,72188.72,2561,862,0
2024-03-12 10:15:00,72188.72,72376.29,72105.48,72156.85,1847,834,0
2024-03-12 10:30:00,72156.85,72205.77,72014.84,72147.14,1663,901,0
2024-03-12 10:45:00,72152.75,72288.25,72041.15,72157.1,2341,944,0
2024-03-12 11:00:00,72153.93,72234.02,71634.75,71648.46,2937,894,0
2024-03-12 11:15:00,71652.13,71881.37,71422.96,71630.9,3231,946,0
2024-03-12 11:30:00,71630.9,71866.52,71539.29,71735.75,2877,813,0
2024-03-12 11:45:00,71735.75,71884.25,71610.08,71720.19,2526,0,0
2024-03-12 12:00:00,71720.19,71942.88,71708.4,71901.75,2359,726,0
2024-03-12 12:15:00,71901.75,72078.57,71849.09,71998.84,2579,568,0
2024-03-12 12:30:00,71994.96,72074.0,71900.79,72026.94,2324,1255,0
2024-03-12 12:45:00,72033.34,72119.26,71859.19,71970.09,2179,811,0
2024-03-12 13:00:00,71966.84,71984.1,71789.08,71819.72,1933,805,0
2024-03-12 13:15:00,71820.5,71856.53,71639.19,71728.11,2291,867,0
2024-03-12 13:30:00,71727.93,71909.98,71715.79,71898.31,2240,807,0
2024-03-12 13:45:00,71898.31,72027.02,71814.12,71854.96,2638,529,0
2024-03-12 14:00:00,71857.35,72204.36,71849.33,72128.81,2947,665,0
2024-03-12 14:15:00,72129.27,72352.41,72009.45,72055.94,2762,826,0
2024-03-12 14:30:00,72055.94,72273.53,72055.94,72132.61,1591,833,0
2024-03-12 14:45:00,72132.61,72146.24,72025.86,72054.14,2417,1123,0
2024-03-12 15:00:00,72052.85,72167.0,71893.07,71940.65,2821,815,0
2024-03-12 15:15:00,71944.37,71955.54,71573.95,71630.37,3182,797,0
2024-03-12 15:30:00,71630.37,72265.36,71441.43,72057.86,3633,1080,0
2024-03-12 15:45:00,72068.18,72231.15,71949.29,72187.13,3292,802,0
2024-03-12 16:00:00,72189.11,72261.21,71931.57,72259.59,2748,816,0
2024-03-12 16:15:00,72262.81,72326.14,72007.08,72291.13,2959,827,0
2024-03-12 16:30:00,72293.75,72349.25,71791.97,71815.49,3385,29,0
2024-03-12 16:45:00,71815.49,72342.25,71694.97,72325.45,3315,903,0
2024-03-12 17:00:00,72325.45,73079.18,71662.45,71782.03,3667,278,0
2024-03-12 17:15:00,71782.03,72228.25,71622.84,72123.99,2841,822,0
2024-03-12 17:30:00,72123.99,72308.75,71685.17,71840.13,2608,836,0
2024-03-12 17:45:00,71840.76,72055.88,71637.6,71657.5,2894,767,0
2024-03-12 18:00:00,71657.46,71973.19,70835.53,71929.65,3636,0,0
2024-03-12 18:15:00,71929.65,72076.25,71778.7,72037.75,2822,848,0
2024-03-12 18:30:00,72037.75,72070.64,71836.76,71883.57,1963,832,0
2024-03-12 18:45:00,71883.57,71947.25,71648.13,71704.65,1658,692,0
2024-03-12 19:00:00,71704.65,71836.25,71328.45,71441.06,2743,936,0
2024-03-12 19:15:00,71441.06,71442.07,70121.71,70592.97,3512,989,0
2024-03-12 19:30:00,70584.12,70794.75,70080.35,70468.19,3578,1066,0
2024-03-12 19:45:00,70468.19,70791.74,70376.7,70498.56,3493,1149,0
2024-03-12 20:00:00,70498.56,70625.1,69580.54,69801.85,3656,0,0
2024-03-12 20:15:00,69823.25,69925.59,68570.57,69200.95,3601,0,0
2024-03-12 20:30:00,69176.52,70246.59,69123.64,70149.25,3234,1096,0
2024-03-12 20:45:00,70149.25,71118.03,70107.25,71089.93,3564,0,0
2024-03-12 21:00:00,71095.95,71267.55,70656.85,70684.3,3672,0,0
2024-03-12 21:15:00,70690.83,71172.71,70467.03,70828.78,3144,1108,0
2024-03-12 21:30:00,70828.78,71303.5,70823.86,71144.14,3195,992,0
2024-03-12 21:45:00,71150.47,71481.57,71121.37,71395.65,2837,994,0
2024-03-12 22:00:00,71400.29,71685.25,71201.05,71566.25,2547,0,0
2024-03-12 22:15:00,71566.25,71686.33,71383.35,71458.1,2423,381,0
2024-03-12 22:30:00,71458.1,71629.03,71430.32,71542.6,1620,737,0
2024-03-12 22:45:00,71542.6,71609.84,71295.38,71410.38,1917,802,0
2024-03-12 23:00:00,71418.98,71419.89,71003.03,71206.16,2510,1269,0
2024-03-12 23:15:00,71206.16,71259.73,70747.62,70919.7,1873,376,0
2024-03-12 23:30:00,70920.2,71146.71,70617.2,71088.63,2564,850,0
2024-03-12 23:45:00,71088.63,71132.75,70818.62,71033.73,1477,994,0
2024-03-13 00:00:00,70942.13,71006.84,70589.95,70888.23,1154,1174,0
2024-03-13 00:15:00,70888.41,70914.69,70675.75,70843.11,1200,661,0
2024-03-13 00:30:00,70845.7,71146.42,70736.99,71089.33,1514,1199,0
2024-03-13 00:45:00,71090.4,71092.8,70510.28,70855.76,983,841,0
2024-03-13 01:00:00,70855.76,71146.75,70674.55,71083.21,2212,1020,0
2024-03-13 01:15:00,71083.21,71244.56,70927.75,70957.21,2323,806,0
